나자, 50, 169
자라, 78, 190
카카, 83, 188
바가, 77, 142
가사, 82, 145
자아, 59, 178
파차, 74, 168
차다, 43, 174
바라, 68, 162
다나, 57, 197
카자, 58, 190
카나, 75, 162
차차, 66, 180
타라, 73, 185
사차, 76, 192
사자, 89, 145
파나, 75, 180
파마, 47, 162
하하, 49, 157
자카, 51, 149
타자, 65, 140
바사, 77, 171
다가, 90, 179
타라, 92, 162
다자, 61, 157
마가, 66, 185
아파, 51, 187
라마, 81, 153
마다, 45, 151
파마, 46, 161
파카, 90, 167
타카, 53, 155
아라, 86, 155
라파, 46, 195
파카, 93, 146
파카, 50, 153
바마, 82, 156
카나, 99, 159
하나, 45, 151
바차, 44, 144
파차, 49, 161
바카, 83, 188
파다, 54, 168
마사, 61, 175
자라, 40, 180
자파, 53, 197
나가, 95, 181
타차, 83, 159
라나, 48, 147
타라, 83, 196
카하, 93, 156
가라, 45, 161
차카, 98, 174
라나, 80, 188
라나, 79, 166
사하, 83, 176
자바, 97, 181
차라, 79, 141
사다, 47, 177
나타, 65, 194
가가, 72, 173
나라, 92, 166
차파, 55, 158
사마, 51, 157
카다, 85, 176
사사, 84, 192
라사, 48, 171
차다, 85, 198
다차, 80, 195
다차, 49, 195
다타, 40, 179
파파, 92, 170
파라, 84, 142
나마, 92, 152
차나, 93, 165
사아, 64, 189
마차, 95, 144
파라, 62, 148
마파, 54, 140
차사, 81, 177
아마, 54, 146
사나, 98, 169
나자, 62, 179
마가, 66, 198
차아, 46, 162
가카, 77, 196
아파, 63, 159
다카, 47, 184
라카, 41, 197
카카, 61, 172
파아, 82, 178
라차, 93, 166
아라, 53, 193
파하, 70, 180
타카, 40, 183
사가, 85, 155
차하, 71, 176
하라, 70, 189
하나, 93, 172
가다, 72, 149
나라, 90, 190
파하, 71, 198
가나, 61, 145
바사, 56, 197
하타, 55, 194
나하, 82, 151
타나, 79, 175
나카, 68, 177
카파, 80, 195
가자, 88, 187
사차, 96, 178
파타, 51, 158
사바, 70, 170
하자, 61, 157
차나, 74, 151
타라, 46, 145
타바, 77, 147
마차, 42, 140
카다, 56, 143
파바, 87, 199
나바, 41, 145
파파, 42, 175
타나, 93, 184
타가, 91, 195
카타, 98, 163
하마, 50, 182
하마, 93, 181
바바, 56, 161
차마, 99, 158
아바, 76, 165
파차, 59, 168
가가, 47, 140
사하, 96, 168
사라, 60, 175
마아, 86, 176
아자, 59, 183
마다, 96, 150
카아, 97, 147
마마, 72, 149
아파, 86, 167
마차, 90, 164
라차, 51, 181
사사, 68, 156
차가, 78, 151
나아, 87, 155
차마, 95, 185
아타, 55, 166
하사, 71, 149
타카, 51, 184
카자, 45, 149
라라, 46, 194
바하, 70, 198
차사, 91, 168
사타, 73, 148
카나, 48, 154
파라, 69, 164
마타, 85, 142
하차, 51, 164
바라, 77, 164
아다, 76, 190
사바, 69, 164
다카, 71, 140
라라, 77, 169
다자, 99, 173
아파, 91, 153
나라, 88, 186
가나, 78, 140
하하, 97, 158
타가, 77, 197
파타, 53, 189
바타, 71, 148
자다, 83, 155
자나, 65, 176
하나, 63, 142
사마, 89, 187
사차, 57, 197
타타, 48, 148
다마, 53, 151
가바, 63, 142
파타, 65, 175
나나, 71, 185
카하, 47, 187
사마, 99, 197
타바, 86, 173
